iter,t,j,evidence_class,evidence_is_onehot
,145,3,0,True
,146,0,0,True
,146,1,0,True
,146,2,0,True
,146,3,0,True
,147,0,0,True
,147,1,0,True
,147,2,0,True
,147,3,0,True
,148,0,0,True
,148,1,0,True
,148,2,0,True
,148,3,0,True
,149,0,0,True
,149,1,0,True
,149,2,0,True
,149,3,0,True
,150,0,0,True
,150,1,0,True
,150,2,0,True
,150,3,0,True
,151,0,0,True
,151,1,0,True
,151,2,0,True
,151,3,0,True
,152,0,0,True
,152,1,0,True
,152,2,0,True
,152,3,2,True
,153,0,0,True
,153,1,0,True
,153,2,0,True
,153,3,0,True
,154,0,0,True
,154,1,0,True
,154,2,0,True
,154,3,0,True
,155,0,0,True
,155,1,0,True
,155,2,0,True
,155,3,0,True
,156,0,0,True
,156,1,0,True
,156,2,0,True
,156,3,0,True
,157,0,0,True
,157,1,0,True
,157,2,0,True
,157,3,0,True
,158,0,0,True
,158,1,0,True
,158,2,0,True
,158,3,0,True
,159,0,0,True
,159,1,0,True
,159,2,0,True
,159,3,0,True
,160,0,0,True
,160,1,0,True
,160,2,0,True
,160,3,0,True
,161,0,0,True
,161,1,0,True
,161,2,0,True
,161,3,0,True
,162,0,0,True
,162,1,0,True
,162,2,0,True
,162,3,0,True
,163,0,0,True
,163,1,0,True
,163,2,0,True
,163,3,0,True
,164,0,0,True
,164,1,0,True
,164,2,0,True
,164,3,0,True
,165,0,0,True
,165,1,0,True
,165,2,0,True
,165,3,0,True
,166,0,0,True
,166,1,0,True
,166,2,0,True
,166,3,0,True
,167,0,0,True
,167,1,0,True
,167,2,0,True
,167,3,0,True
,168,0,0,True
,168,1,0,True
,168,2,0,True
,168,3,0,True
,169,0,0,True
,169,1,0,True
,169,2,0,True
,169,3,0,True
,170,0,0,True
,170,1,0,True
,170,2,0,True
,170,3,0,True
,171,0,0,True
,171,1,0,True
,171,2,0,True
,171,3,0,True
,172,0,0,True
,172,1,0,True
,172,2,0,True
,172,3,0,True
,173,0,0,True
,173,1,0,True
,173,2,0,True
,173,3,0,True
,174,0,0,True
,174,1,0,True
,174,2,0,True
,174,3,0,True
,175,0,0,True
,175,1,0,True
,175,2,0,True
,175,3,0,True
,176,0,0,True
,176,1,0,True
,176,2,0,True
,176,3,0,True
,177,0,0,True
,177,1,0,True
,177,2,0,True
,177,3,0,True
,178,0,0,True
,178,1,0,True
,178,2,0,True
,178,3,0,True
,179,0,0,True
,179,1,0,True
,179,2,0,True
,179,3,0,True
,180,0,0,True
,180,1,0,True
,180,2,0,True
,180,3,0,True
,181,0,0,True
,181,1,0,True
,181,2,0,True
,181,3,0,True
,182,0,0,True
,182,1,0,True
,182,2,0,True
,182,3,0,True
,183,0,0,True
,183,1,0,True
,183,2,0,True
,183,3,0,True
,184,0,0,True
,184,1,0,True
,184,2,0,True
,184,3,0,True
,185,0,0,True
,185,1,0,True
,185,2,0,True
,185,3,0,True
,186,0,0,True
,186,1,0,True
,186,2,0,True
,186,3,0,True
,187,0,0,True
,187,1,0,True
,187,2,0,True
,187,3,0,True
,188,0,0,True
,188,1,0,True
,188,2,0,True
,188,3,0,True
,189,0,0,True
,189,1,0,True
,189,2,0,True
,189,3,0,True
,190,0,0,True
,190,1,0,True
,190,2,0,True
,190,3,0,True
,191,0,0,True
,191,1,0,True
,191,2,0,True
,191,3,0,True
,192,0,0,True
,192,1,0,True
,192,2,0,True
,192,3,0,True
,193,0,0,True
,193,1,0,True
,193,2,0,True
,193,3,0,True
,194,0,0,True
,194,1,0,True
,194,2,0,True
,194,3,0,True
,195,0,0,True
,195,1,0,True
,195,2,0,True
,195,3,0,True
,196,0,0,True
,196,1,0,True
,196,2,0,True
,196,3,0,True
,197,0,0,True
,197,1,0,True
,197,2,0,True
,197,3,0,True
,198,0,0,True
,198,1,0,True
,198,2,0,True
,198,3,0,True
,199,0,0,True
,199,1,0,True
,199,2,0,True
,199,3,0,True
,200,0,0,True
,200,1,0,True
,200,2,0,True
,200,3,0,True
,201,0,0,True
,201,1,0,True
,201,2,0,True
,201,3,0,True
,202,0,0,True
,202,1,0,True
,202,2,0,True
,202,3,0,True
,203,0,0,True
,203,1,0,True
,203,2,0,True
,203,3,0,True
,204,0,0,True
,204,1,0,True
,204,2,0,True
,204,3,0,True
,205,0,0,True
,205,1,0,True
,205,2,0,True
,205,3,0,True
,206,0,0,True
,206,1,0,True
,206,2,0,True
,206,3,0,True
,207,0,0,True
,207,1,0,True
,207,2,0,True
,207,3,0,True
,208,0,0,True
,208,1,0,True
,208,2,0,True
,208,3,0,True
,209,0,0,True
,209,1,0,True
,209,2,0,True
,209,3,0,True
,210,0,0,True
,210,1,0,True
,210,2,0,True
,210,3,0,True
,211,0,0,True
,211,1,0,True
,211,2,0,True
,211,3,0,True
,212,0,0,True
,212,1,0,True
,212,2,0,True
,212,3,0,True
,213,0,0,True
,213,1,0,True
,213,2,0,True
,213,3,0,True
,214,0,0,True
,214,1,0,True
,214,2,0,True
,214,3,0,True
,215,0,0,True
,215,1,0,True
,215,2,0,True
,215,3,0,True
,216,0,0,True
,216,1,0,True
,216,2,0,True
,216,3,0,True
,217,0,0,True
,217,1,0,True
,217,2,0,True
,217,3,0,True
,218,0,0,True
,218,1,0,True
,218,2,0,True
,218,3,0,True
,219,0,0,True
,219,1,0,True
,219,2,0,True
,219,3,0,True
,220,0,0,True
,220,1,0,True
,220,2,0,True
,220,3,0,True
,221,0,0,True
,221,1,0,True
,221,2,0,True
,221,3,0,True
,222,0,0,True
,222,1,0,True
,222,2,0,True
,222,3,0,True
,223,0,0,True
,223,1,0,True
,223,2,0,True
,223,3,0,True
,224,0,0,True
,224,1,0,True
,224,2,0,True
,224,3,0,True
,225,0,0,True
,225,1,0,True
,225,2,0,True
,225,3,0,True
,226,0,0,True
,226,1,0,True
,226,2,0,True
,226,3,0,True
,227,0,0,True
,227,1,0,True
,227,2,0,True
,227,3,0,True
,228,0,0,True
,228,1,0,True
,228,2,0,True
,228,3,0,True
,229,0,2,True
,229,1,0,True
,229,2,0,True
,229,3,0,True
,230,0,0,True
,230,1,0,True
,230,2,0,True
,230,3,0,True
,231,0,0,True
,231,1,0,True
,231,2,0,True
,231,3,0,True
,232,0,0,True
,232,1,0,True
,232,2,0,True
,232,3,0,True
,233,0,0,True
,233,1,0,True
,233,2,0,True
,233,3,0,True
,234,0,0,True
,234,1,0,True
,234,2,0,True
,234,3,0,True
,235,0,0,True
,235,1,0,True
,235,2,0,True
,235,3,0,True
,236,0,0,True
,236,1,0,True
,236,2,0,True
,236,3,0,True
,237,0,0,True
,237,1,0,True
,237,2,0,True
,237,3,0,True
,238,0,0,True
,238,1,0,True
,238,2,0,True
,238,3,0,True
,239,0,0,True
,239,1,0,True
,239,2,0,True
,239,3,0,True
,240,0,0,True
,240,1,0,True
,240,2,0,True
,240,3,0,True
,241,0,0,True
,241,1,0,True
,241,2,0,True
,241,3,0,True
,242,0,0,True
,242,1,0,True
,242,2,0,True
,242,3,0,True
,243,0,0,True
,243,1,0,True
,243,2,0,True
,243,3,0,True
,244,0,0,True
,244,1,0,True
