iter,t,argmax_state,max_prob
,2714,0,0.96457547
,2715,0,0.98901695
,2716,0,0.98954225
,2717,1,0.989027
,2718,0,0.97016954
,2719,0,0.9902347
,2720,0,0.98821276
,2721,0,0.9894272
,2722,0,0.9904435
,2723,0,0.9893583
,2724,0,0.9893571
,2725,0,0.9883312
,2726,0,0.9898648
,2727,1,0.9902841
,2728,0,0.9736768
,2729,0,0.98762125
,2730,0,0.9893154
,2731,0,0.9894857
,2732,0,0.9904466
,2733,0,0.98932964
,2734,0,0.9883702
,2735,0,0.9903877
,2736,0,0.989329
,2737,0,0.9882501
,2738,0,0.98931605
,2739,0,0.9893744
,2740,0,0.98938227
,2741,0,0.9894282
,2742,0,0.98961073
,2743,1,0.9745214
,2744,0,0.9261736
,2745,0,0.98505133
,2746,0,0.96795034
,2747,1,0.9560199
,2748,0,0.9480488
,2749,0,0.9897454
,2750,0,0.9885942
,2751,1,0.9642865
,2752,1,0.99065816
,2753,0,0.9544631
,2754,0,0.98874205
,2755,0,0.9893834
,2756,0,0.9894903
,2757,0,0.99044746
,2758,0,0.9893579
,2759,0,0.9893534
,2760,0,0.98825073
,2761,0,0.98931605
,2762,0,0.98937404
,2763,0,0.9893778
,2764,0,0.9893781
,2765,0,0.98937875
,2766,0,0.9893863
,2767,0,0.989489
,2768,0,0.9904184
,2769,0,0.98822033
,2770,0,0.98931605
,2771,0,0.989383
,2772,0,0.98948926
,2773,0,0.9904468
,2774,0,0.9893265
,2775,0,0.9882508
,2776,0,0.989325
,2777,0,0.9894855
,2778,0,0.99044716
,2779,0,0.9893579
,2780,0,0.9893534
,2781,0,0.98825073
,2782,0,0.98931605
,2783,0,0.98937404
,2784,0,0.9893778
,2785,0,0.9893781
,2786,0,0.9893777
,2787,0,0.98935515
,2788,0,0.988445
,2789,0,0.96066964
,2790,0,0.99023986
,2791,0,0.98747015
,2792,0,0.96354043
,2793,0,0.5545579
,2794,0,0.97174764
,2795,0,0.9890213
,2796,0,0.9884421
,2797,0,0.96066827
,2798,0,0.99025595
,2799,0,0.98839235
,2800,0,0.98936594
,2801,0,0.98948854
,2802,0,0.9904186
,2803,0,0.98822993
,2804,0,0.98942727
,2805,0,0.9904429
,2806,0,0.98932666
,2807,0,0.98825
,2808,0,0.98931605
,2809,0,0.9893743
,2810,0,0.9893814
,2811,0,0.98942715
,2812,0,0.99006975
,2813,1,0.6835098
,2814,0,0.97250307
,2815,0,0.989139
,2816,0,0.9897522
,2817,1,0.9966444
,2818,0,0.9465932
,2819,0,0.9886181
,2820,0,0.9901924
,2821,1,0.6744941
,2822,1,0.83932513
,2823,0,0.9694564
,2824,0,0.98915654
,2825,0,0.99044716
,2826,0,0.9893096
,2827,0,0.98919827
,2828,0,0.9883927
,2829,0,0.9903802
,2830,0,0.9893536
,2831,0,0.9893531
,2832,0,0.98825043
,2833,0,0.98929733
,2834,0,0.9884412
,2835,0,0.96066874
,2836,0,0.99026436
,2837,0,0.98851347
,2838,0,0.9904286
,2839,0,0.9893575
,2840,0,0.9893534
,2841,0,0.98825073
,2842,0,0.98931605
,2843,0,0.9893738
,2844,0,0.98935807
,2845,0,0.9883792
,2846,0,0.95755416
,2847,0,0.9637454
,2848,0,0.9891291
,2849,0,0.98464483
,2850,0,0.9544049
,2851,0,0.9663289
,2852,0,0.9847341
,2853,0,0.97012174
,2854,0,0.98931766
,2855,0,0.9883056
,2856,0,0.988418
,2857,0,0.96066487
,2858,0,0.99025583
,2859,0,0.98839164
,2860,0,0.989357
,2861,0,0.9893784
,2862,0,0.98938704
,2863,0,0.9894896
,2864,0,0.99044776
,2865,0,0.98936707
,2866,0,0.98946786
,2867,0,0.98940444
,2868,0,0.9882736
,2869,0,0.99035496
,2870,0,0.9882324
,2871,0,0.98942727
,2872,0,0.99044293
,2873,0,0.9893298
,2874,0,0.9883702
,2875,0,0.9903877
,2876,0,0.989329
,2877,0,0.98825014
,2878,0,0.98931605
,2879,0,0.98937404
,2880,0,0.9893778
,2881,0,0.9893781
,2882,0,0.9893781
,2883,0,0.9893781
,2884,0,0.9893781
,2885,0,0.9893781
,2886,0,0.9893781
,2887,0,0.98937786
,2888,0,0.9893595
,2889,0,0.9884452
,2890,0,0.96065044
,2891,0,0.9901492
,2892,0,0.98840266
,2893,0,0.98934925
,2894,0,0.98937756
,2895,0,0.9893781
,2896,0,0.98937804
,2897,0,0.9893769
,2898,0,0.98936164
,2899,0,0.98915184
,2900,0,0.9863315
,2901,0,0.9678954
,2902,0,0.9890543
,2903,0,0.9888041
,2904,0,0.9863651
,2905,0,0.96797365
,2906,1,0.69608456
,2907,0,0.9790299
,2908,0,0.98895
,2909,0,0.98881936
,2910,1,0.9624776
,2911,0,0.9547858
,2912,0,0.98873174
,2913,0,0.9893731
,2914,0,0.9893787
,2915,0,0.98937815
,2916,0,0.9893781
,2917,0,0.9893781
,2918,0,0.9893781
,2919,0,0.9893781
,2920,0,0.98937804
,2921,0,0.9893769
,2922,0,0.98936164
,2923,0,0.9891483
,2924,0,0.9861484
,2925,0,0.961783
,2926,0,0.96423125
,2927,0,0.9891634
,2928,0,0.9891035
,2929,0,0.9904573
,2930,0,0.989357
,2931,0,0.9893854
,2932,0,0.9893855
,2933,0,0.9893548
,2934,0,0.9882606
,2935,0,0.9894277
,2936,0,0.99041826
,2937,0,0.9883494
,2938,0,0.99046034
,2939,0,0.9892887
,2940,0,0.9847902
,2941,0,0.9675113
,2942,0,0.98933893
,2943,0,0.9883365
,2944,0,0.98946446
,2945,0,0.990447
,2946,0,0.98936045
,2947,0,0.98939234
,2948,0,0.98883694
,2949,1,0.9902238
,2950,0,0.9737567
,2951,0,0.98878664
,2952,0,0.98836064
,2953,0,0.9903621
,2954,0,0.9883429
,2955,0,0.99036145
,2956,0,0.9883428
,2957,0,0.99036145
,2958,0,0.9883428
,2959,0,0.9903614
,2960,0,0.98834276
,2961,0,0.9903586
,2962,0,0.98822373
,2963,0,0.9893244
,2964,0,0.98948497
,2965,0,0.9904216
,2966,0,0.98834974
,2967,0,0.9904623
,2968,0,0.9893792
,2969,0,0.98827106
,2970,0,0.9902683
,2971,0,0.9844883
,2972,0,0.9540676
,2973,0,0.9665276
,2974,0,0.98995847
,2975,0,0.99014837
,2976,0,0.9892966
,2977,0,0.9882494
,2978,0,0.98931605
,2979,0,0.98937404
,2980,0,0.9893778
,2981,0,0.9893781
,2982,0,0.98937815
,2983,0,0.98937875
,2984,0,0.98938704
,2985,0,0.989489
,2986,0,0.99042124
,2987,0,0.98834
,2988,0,0.99035853
,2989,0,0.988223
,2990,0,0.9893154
,2991,0,0.98937404
,2992,0,0.9893778
,2993,0,0.9893751
,2994,0,0.98922306
,2995,0,0.98542994
,2996,0,0.9904303
,2997,0,0.9895298
,2998,0,0.9883545
,2999,0,0.99038744
,3000,0,0.9893316
,3001,0,0.9883684
,3002,0,0.99038833
,3003,0,0.9893612
,3004,0,0.98938555
,3005,0,0.9893861
,3006,0,0.9893854
,3007,0,0.9893538
,3008,0,0.9882445
,3009,0,0.98911893
,3010,0,0.98483753
,3011,0,0.9494403
,3012,0,0.9668117
,3013,0,0.9844065
,3014,0,0.96680367
,3015,0,0.990388
,3016,0,0.9885174
,3017,0,0.9904282
,3018,0,0.98932916
,3019,0,0.98837024
,3020,0,0.99038833
,3021,0,0.9893383
,3022,0,0.98837286
,3023,0,0.99036545
,3024,0,0.98833567
,3025,0,0.99036115
,3026,0,0.9883434
,3027,0,0.99038726
,3028,0,0.9893328
,3029,0,0.98837924
,3030,0,0.99046284
,3031,0,0.98937637
,3032,0,0.9881631
,3033,0,0.98943126
,3034,0,0.99052006
,3035,0,0.989486
